,site,lat,lon,elv,age,Tmin_pred,gdd_pred,alpha_pred,Tmax_pred,Tmin_sse,gdd_sse,alpha_sse,Tmax_sse
62,Gagra #471,43.28,40.27,0,2544,1.463615041,3348.016855,0.841301541,16.18410525,0.986101339,123.7053734,0.018242292,0.553134221
63,Gagra #471,43.28,40.27,0,3902,0.728002342,3415.185417,0.838227658,17.13912884,0.904742973,109.2808808,0.017623829,0.479375185
64,Gagra #471,43.28,40.27,0,4306,2.851789952,3319.192322,0.887725665,16.22764925,0.979316241,158.3189783,0.029199009,0.410055822
65,Gagra #471,43.28,40.27,0,4481,2.436209107,3615.238476,0.800338872,17.52680238,1.065749408,122.9350553,0.020282866,0.561389871
66,Gagra #471,43.28,40.27,0,4636,-0.391886375,3351.741554,0.903780088,17.20834127,1.061557284,175.6007954,0.032594148,0.457643555
67,Gagra #471,43.28,40.27,0,4694,4.792458676,3708.759087,0.781925512,18.64003941,0.833322313,93.76957155,0.017842312,0.331085333
68,Gagra #471,43.28,40.27,0,4850,-0.788645618,3296.68273,0.902276513,16.56048767,1.087605035,181.9368435,0.032783305,0.442544253
69,Gagra #471,43.28,40.27,0,5025,0.563061304,3152.910783,0.913122107,15.38630287,1.101189236,187.562025,0.033372612,0.42977602
70,Gagra #471,43.28,40.27,0,5277,1.826285258,3361.964673,0.881447115,16.83196928,0.964821211,163.5795922,0.029904502,0.41382002
71,Gagra #471,43.28,40.27,0,5413,-0.418960107,3213.778973,0.943438005,15.9684902,1.309332241,229.8410141,0.040818791,0.553772096
72,Gagra #471,43.28,40.27,0,5472,1.012420273,3319.356216,0.901386363,16.15094938,1.099791452,194.4202227,0.033677178,0.469847745
73,Gagra #471,43.28,40.27,0,5627,0.600976186,3384.517071,0.905512525,17.41558054,1.052705321,174.5536345,0.031515238,0.472920524
74,Gagra #471,43.28,40.27,0,5860,0.421636407,3357.274243,0.900556787,16.58300281,1.153569117,206.2586072,0.035955121,0.524586873
75,Gagra #471,43.28,40.27,0,6016,-0.64448886,3223.699734,0.948977946,16.02789479,1.294110585,229.0401101,0.041254389,0.552783336
76,Gagra #471,43.28,40.27,0,6148,1.34670615,3402.008301,0.885619621,17.24361682,0.934663819,154.1902137,0.028169908,0.391584738
77,Gagra #471,43.28,40.27,0,6269,5.778992871,3459.691724,0.819319447,15.34781283,0.769397202,130.3658384,0.023661338,0.430968485
78,Gagra #471,43.28,40.27,0,6368,3.764819191,3806.642224,0.783449574,19.75553008,0.914509217,105.3423028,0.020562704,0.366605132
79,Gagra #471,43.28,40.27,0,6488,0.493124463,3394.424942,0.892691017,17.73051104,1.047207347,153.2133162,0.029854954,0.427280932
80,Gagra #471,43.28,40.27,0,6565,6.050431782,3774.969485,0.799243459,18.80274756,0.786274676,173.6651006,0.021726712,1.457398313
81,Gagra #471,43.28,40.27,0,6620,4.578013623,3724.573091,0.80680272,17.78303347,0.765931042,123.8863431,0.024319675,0.345318112
82,Gagra #471,43.28,40.27,0,6707,2.266200896,3787.244989,0.809393746,19.37353013,0.788213507,110.4045047,0.019850358,0.334762196
83,Gagra #471,43.28,40.27,0,6927,3.384883611,3663.080122,0.851924488,17.91290579,0.910272545,129.3087308,0.023797603,0.374283473
84,Gagra #471,43.28,40.27,0,7025,4.27430504,3785.467907,0.774152672,18.9358792,0.653736974,82.81071364,0.016734929,0.288521402
85,Gagra #471,43.28,40.27,0,7058,3.514174092,3582.392148,0.845790411,17.17391045,0.820048445,129.8121406,0.024560125,0.365274429
86,Gagra #471,43.28,40.27,0,7288,1.891263956,3593.16863,0.918574297,18.75468798,1.367448846,297.182752,0.036597621,1.692831793
87,Gagra #471,43.28,40.27,0,7617,5.701128358,4158.159995,0.741962243,22.47840662,0.846861746,121.8720388,0.017339121,0.729154398
88,Gagra #471,43.28,40.27,0,7798,4.977252115,4124.708751,0.726390005,22.0777941,0.737041554,90.2457193,0.016110641,0.396338579
89,Gagra #471,43.28,40.27,0,7995,6.451457738,4094.18204,0.751967617,21.42072269,0.818580491,150.7639718,0.019118883,1.048769536
90,Gagra #471,43.28,40.27,0,8274,5.466369467,3797.387399,0.770923291,19.94631714,1.048174982,103.5441474,0.020615157,0.421278704
91,Gagra #471,43.28,40.27,0,8455,3.856992321,3753.02714,0.805654259,19.23348919,0.770808568,90.91995511,0.016708745,0.311836822
92,Gagra #471,43.28,40.27,0,8586,6.012298717,3823.721242,0.756421049,19.66878752,0.960092978,100.3708829,0.020494354,0.40560375
93,Gagra #471,43.28,40.27,0,8603,5.120401919,3792.095707,0.754956376,20.16580437,1.172240215,114.1583831,0.023314014,0.478736891
94,Gagra #471,43.28,40.27,0,8652,2.798897978,4050.436644,0.771483961,22.38570093,1.027443924,157.4623289,0.018177547,0.847014493
95,Gagra #471,43.28,40.27,0,8781,0.070361815,3696.262131,0.799188606,21.42604679,1.014358529,110.8011624,0.021922182,0.442707679
96,Gagra #471,43.28,40.27,0,8919,-3.325195427,2995.786893,0.911651508,18.27260228,1.30146677,121.9035748,0.019730787,0.468312003
97,Gagra #471,43.28,40.27,0,8964,-1.986555606,3529.606633,0.796505188,20.89504374,0.788021726,87.97077777,0.02134067,0.354343124
98,Gagra #471,43.28,40.27,0,9224,-0.616058262,3593.3321,0.80739395,20.53968943,0.824479995,97.50050768,0.022504541,0.340320855
99,Gagra #471,43.28,40.27,0,9529,0.418084174,4052.266476,0.752480553,23.45950911,1.246301604,194.9545829,0.020946913,0.811093387
100,Gagra #471,43.28,40.27,0,9560,-0.753376716,3902.270536,0.734998276,23.15885627,0.997979456,104.1482228,0.016320696,0.498944755
101,Gagra #471,43.28,40.27,0,9697,0.980989575,3867.01307,0.735078359,22.82423786,0.80046846,89.48929584,0.015837882,0.513163807
102,Gagra #471,43.28,40.27,0,9835,-2.689618237,3536.724149,0.849810036,22.22579888,1.615550515,257.5739911,0.019155363,1.272333657
103,Gagra #471,43.28,40.27,0,9865,-2.282524149,3830.4617,0.742036412,23.18404051,1.161385698,109.9090358,0.017932172,0.582034603
104,Gagra #471,43.28,40.27,0,10003,2.630243613,4836.906897,0.518986889,26.81002506,1.739535665,164.4797516,0.025750598,0.46127562
105,Gagra #471,43.28,40.27,0,10171,5.342437397,3869.668881,0.757628747,21.39109144,0.894949848,136.1253652,0.017574922,0.93686151
106,Gagra #471,43.28,40.27,0,10486,4.971179407,4019.6746,0.710134804,22.36183673,0.853157,108.6844988,0.01780933,0.600147269
107,Gagra #471,43.28,40.27,0,10824,2.620096456,4221.809335,0.646485581,24.55758659,1.184997246,113.7599179,0.020734106,0.580037064
108,Gagra #471,43.28,40.27,0,11484,3.474212736,4475.041442,0.652442858,25.23717913,1.133064219,200.2177233,0.018225705,0.64412381
109,Imera core 1,41.65,44.22,1610,122,0.071113346,4421.61973,0.705594168,22.81543918,0.855477705,175.5965733,0.012245585,0.871152623
110,Imera core 1,41.65,44.22,1610,209,-0.048064357,4310.986874,0.688622531,22.26751271,0.667988654,120.5093446,0.011758586,0.567645909
111,Imera core 1,41.65,44.22,1610,429,-0.563762005,4235.527122,0.694354928,21.81753219,0.541640688,91.76861445,0.011664249,0.286069618
112,Imera core 1,41.65,44.22,1610,480,-0.690983319,4439.805474,0.61143958,21.97532308,0.661948088,82.10117108,0.01168632,0.298942093
113,Imera core 1,41.65,44.22,1610,854,-0.128561476,4056.14392,0.663597364,19.78731019,0.755370406,108.437796,0.012152175,0.637470547
114,Imera core 1,41.65,44.22,1610,981,-1.048281286,4212.704482,0.647129846,21.29135325,0.568825265,87.55135685,0.010940012,0.302498777
115,Imera core 1,41.65,44.22,1610,1073,-0.424515033,4660.013594,0.641208249,24.10274393,0.811594318,153.26364,0.013424313,0.615448688
116,Imera core 1,41.65,44.22,1610,1122,-0.68754391,4259.408489,0.695125157,23.60736591,0.836194272,164.3409386,0.011361832,0.642694017
117,Imera core 1,41.65,44.22,1610,1281,-0.130628684,4090.185613,0.719442878,21.52022312,0.894963894,182.9973959,0.010496108,1.0634496
118,Imera core 1,41.65,44.22,1610,1316,-0.690996027,4013.648717,0.714859659,20.59951025,0.692908453,108.4009765,0.011209088,0.50548639
119,Imera core 1,41.65,44.22,1610,1415,-0.83613771,4236.840285,0.684684417,22.1390933,0.914303781,167.4217073,0.010319928,0.913300125
120,Imera core 1,41.65,44.22,1610,1452,-0.932332466,4455.504411,0.663297056,23.42832739,0.781649369,147.9629646,0.012291143,0.620249438
121,Imera core 1,41.65,44.22,1610,1499,-0.220090105,4239.897875,0.689099846,22.54240091,0.951702336,183.6869345,0.011000168,0.951560908
122,Imera core 1,41.65,44.22,1610,1531,-0.728010047,4136.807437,0.686200458,21.48880237,0.855788443,123.0827065,0.011153276,0.602763294
123,Imera core 1,41.65,44.22,1610,1595,-0.345229089,4019.472016,0.72840246,20.95040523,0.883808656,170.9540381,0.011230366,0.996509399
124,Imera core 1,41.65,44.22,1610,1804,-1.215682175,3837.432782,0.759422149,19.39146524,1.022024643,190.2779283,0.012287269,1.141143204
125,Imera core 1,41.65,44.22,1610,1894,-0.956275437,3755.05793,0.752159059,18.81363141,0.843728574,135.5932677,0.011774133,0.723099166
126,Imera core 1,41.65,44.22,1610,1988,-0.713302296,3901.562864,0.739557509,20.13126747,0.832101743,149.1852875,0.011619285,0.819623929
127,Imera core 1,41.65,44.22,1610,2083,-1.530336484,3631.000142,0.767234915,18.15790059,0.761833598,110.3642661,0.011608489,0.406009993
128,Imera core 1,41.65,44.22,1610,2208,-1.077336059,3959.773896,0.713903884,19.96998207,0.947314665,146.9551581,0.012678658,0.752872344
129,Imera core 1,41.65,44.22,1610,2495,-2.809315202,3268.510979,0.793264565,14.81539757,1.145896828,156.0957954,0.016291681,0.548301293
130,Imera core 1,41.65,44.22,1610,2567,-2.297355324,3435.372673,0.772616828,15.96171308,1.15495628,164.2762635,0.016037972,0.751578464
131,Imera core 1,41.65,44.22,1610,2658,-1.959902048,3372.585493,0.767318849,15.80746029,1.039505725,153.6217128,0.014248862,0.804207015
132,Imera core 1,41.65,44.22,1610,2749,-1.916935288,3727.239035,0.674018053,17.5686485,0.900746785,98.88173172,0.011637688,0.397404012
133,Imera core 1,41.65,44.22,1610,2932,-2.755215359,3458.302228,0.739833137,15.95436915,0.998779251,123.7164353,0.013721511,0.448587835
134,Imera core 1,41.65,44.22,1610,3068,-2.650109942,3697.047485,0.682458611,17.58243447,0.837934972,105.3863779,0.011673232,0.428864483
135,Imera core 1,41.65,44.22,1610,3127,-2.227770167,3516.265085,0.733212992,16.26324391,1.022545319,132.0704904,0.014400328,0.603128145
136,Imera core 1,41.65,44.22,1610,3321,-2.061410898,3731.991307,0.696827337,17.00689419,0.963066388,115.0540268,0.013368423,0.420337341
137,Imera core 1,41.65,44.22,1610,3515,-2.493963516,3515.931307,0.716363353,15.99311128,1.143509998,129.2494648,0.01546152,0.459507084
138,Imera core 1,41.65,44.22,1610,3709,-1.708984643,3538.645918,0.722069584,15.73862642,0.961979335,123.9760408,0.014360285,0.447148935
139,Imera core 1,41.65,44.22,1610,3900,-2.285665617,3671.52811,0.699034577,16.86316133,0.921307908,111.6117524,0.01374465,0.402330122
140,Imera core 1,41.65,44.22,1610,4091,-2.030064821,3553.114367,0.70145175,16.17008464,0.972690819,116.4519967,0.013204507,0.441390387
141,Imera core 1,41.65,44.22,1610,4342,-1.820737784,3793.955171,0.661258626,17.19482742,0.901221382,108.0101654,0.012828953,0.412195475
142,Imera core 1,41.65,44.22,1610,4548,-1.57078383,3628.997532,0.748726869,17.59160973,1.046418957,177.8582566,0.012529249,1.190176074
143,Imera core 1,41.65,44.22,1610,4718,-1.523404612,3303.45477,0.776113247,14.44457456,0.983844458,144.45519,0.014843855,0.512511121
144,Imera core 1,41.65,44.22,1610,4831,-0.411915587,3947.525993,0.691728117,18.67610644,1.078462059,167.7905186,0.013776442,1.108853336
145,Imera core 1,41.65,44.22,1610,4962,-1.353965167,4391.169011,0.597888177,21.36335227,0.868248657,130.1379755,0.011638992,0.783672286
146,Imera core 1,41.65,44.22,1610,5452,-2.506145657,3720.398921,0.712733006,17.80004646,0.748554894,96.56827604,0.011214935,0.369011112
147,Imera core 1,41.65,44.22,1610,5949,-1.766984725,3355.72767,0.805358381,15.67895938,1.128055032,171.725911,0.016062404,0.840429351
148,Imera core 1,41.65,44.22,1610,6377,-1.552914534,4074.936529,0.678833494,20.36426787,1.062793152,178.7604783,0.011469894,1.110713157
149,Imera core 1,41.65,44.22,1610,6793,0.171786292,4458.871726,0.666655159,22.93665234,1.363290007,278.1897355,0.013021533,1.534407433
150,Imera core 1,41.65,44.22,1610,7173,0.024339338,4362.01135,0.626877181,21.69387881,0.975679589,162.1355412,0.011654407,1.005758623
151,Imera core 1,41.65,44.22,1610,7459,0.279762028,4560.743192,0.643207553,23.19804491,1.360692611,266.1577568,0.013832552,1.474138407
152,Imera core 1,41.65,44.22,1610,7721,0.540085788,4319.347193,0.709649137,22.37227954,1.59391514,350.8253982,0.014246874,1.945731186
153,Imera core 1,41.65,44.22,1610,7929,-0.900310725,3930.616042,0.708467359,20.40893337,1.15956766,226.6950996,0.010744441,1.435477171
154,Imera core 1,41.65,44.22,1610,8166,-0.983134348,3713.666629,0.734435144,19.04812952,1.270388266,223.0488631,0.011324268,1.479464128
155,Imera core 1,41.65,44.22,1610,8347,-0.996590241,3899.133358,0.703739143,20.22825439,1.224489088,229.7161376,0.011525366,1.460842592
156,Imera core 1,41.65,44.22,1610,8852,-0.640706386,3793.894295,0.744447952,19.91475798,1.40229915,278.408516,0.011810062,1.770895009
157,Aligol core 1,41.63,44.02,1550,21,0.143380446,4053.108585,0.687379329,19.83684556,0.694223883,106.9485871,0.010935149,0.656151122
158,Aligol core 1,41.63,44.02,1550,49,0.477424033,4387.300863,0.625336012,21.11984035,0.662950906,96.97130879,0.011869037,0.516886804
159,Aligol core 1,41.63,44.02,1550,111,-0.613970436,4205.042419,0.649146406,20.68856125,0.658261199,99.5504533,0.010062599,0.568603891
160,Aligol core 1,41.63,44.02,1550,171,-0.280000151,4323.176016,0.65429228,21.34018437,0.836102313,121.8081532,0.011038008,0.712869257
161,Aligol core 1,41.63,44.02,1550,201,0.687453548,4713.947373,0.611951988,23.17556823,1.129173409,187.4046027,0.01315572,1.061926072
162,Aligol core 1,41.63,44.02,1550,232,-0.411162301,4166.900694,0.717247178,22.21718071,0.99210162,202.1266621,0.010188194,1.057950769
163,Aligol core 1,41.63,44.02,1550,263,-0.381843968,4098.969148,0.736250382,21.57031917,0.825047193,159.3172618,0.010706874,0.816701715
164,Aligol core 1,41.63,44.02,1550,294,0.995782698,4356.343785,0.695747582,22.27264479,1.103051725,223.6741669,0.01131791,1.327587877
165,Aligol core 1,41.63,44.02,1550,362,-0.199154983,4320.511307,0.638480596,20.48904668,0.59107953,91.47319749,0.011763969,0.307063376
166,Aligol core 1,41.63,44.02,1550,430,-0.631605086,4161.182703,0.742624379,22.25721864,0.955655042,196.9452787,0.011209214,0.983204029
